Year,In Proceedings,Journal,Master's Thesis,Patent,PhD Dissertation,arXiv E-print
2011,0.0,0.0,1.0,0.0,0.0,1.0
2012,3.0,14.0,0.0,0.0,2.0,0.0
2013,3.0,4.0,1.0,1.0,0.0,1.0
2014,2.0,6.0,1.0,0.0,1.0,0.0
2015,4.0,9.0,0.0,0.0,0.0,2.0
2016,2.0,3.0,0.0,0.0,0.0,0.0
